#,ML#,St,PT,Address,Zip Code ,Town,Sub Type,List Price,$,Deposit,Date Available,Beds Total,Heated SF /GBA,Sold Price,Agent Name,Office,Property_ID,Is_Duplicate,Heated SF,Year,Month,Day of Week,Season,Full Address,Price_Per_SF,Price_to_Deposit_Ratio,Price_Difference,Days_From_Month_Start,Price_Error,SF_Error,Beds_Error,Year_Month
1,1108505,L,RNT,3402  SW Gibson  Ave ,72712,Bentonville,Single Family,1895,,550.0,2019-04-26,3,2000,1895.0,Debby Price ,Elder Realty Group ,1331,False,2000.0,2019,4,4,2,"3402  SW Gibson  Ave , Bentonville, AR 72712",0.9475,3.4454545454545453,0.0,26,False,False,False,2019-04
1,1082952,L,RNT,803 Oakshire ,72712,Bentonville,Single Family,1850,,,2018-07-20,3,1816,1850.0,Debby Price ,Elder Realty Group ,2286,False,1816.0,2018,7,4,3,"803 Oakshire , Bentonville, AR 72712",1.0187224669603525,,0.0,20,False,False,False,2018-07
501,1082948,L,RNT,3400  S Picasso ,72703,Bentonville,Single Family,1675,,1000.0,2018-07-20,3,1900,1765.0,Debby Price ,Elder Realty Group ,1328,False,1900.0,2018,7,4,3,"3400  S Picasso , Bentonville, AR 72703",0.881578947368421,1.675,90.0,20,False,False,False,2018-07
1001,1142644,L,RNT,806  SW Cabriolet  St ,72712,Bentonville,Single Family,1595,,650.0,2020-03-20,3,1500,1540.0,Debby Price ,Elder Realty Group LLC ,2291,False,1500.0,2020,3,4,2,"806  SW Cabriolet  St , Bentonville, AR 72712",1.0633333333333332,2.453846153846154,-55.0,20,False,False,False,2020-03
501,1218600,L,RNT,1257 Fox Run  Ln ,72727,Elkins,Single Family,1600,,1600.0,2022-05-23,3,1560,1675.0,Erica Huie ,Arkansas Real Estate Group Fayetteville ,179,False,1560.0,2022,5,0,2,"1257 Fox Run  Ln , Elkins, AR 72727",1.0256410256410255,1.0,75.0,23,False,False,False,2022-05
501,1235185,L,RNT,1257 Fox Run  Ln ,72727,Elkins,Single Family,1650,,1650.0,2023-01-06,3,1560,1625.0,Erica Huie ,Arkansas Real Estate Group Fayetteville ,179,True,1560.0,2023,1,4,1,"1257 Fox Run  Ln , Elkins, AR 72727",1.0576923076923077,1.0,-25.0,6,False,False,False,2023-01
501,1219063,L,RNT,933 Ethan James  St ,72727,Elkins,Single Family,1600,,1600.0,2022-06-15,4,1630,1600.0,Briana Ruff ,Lindsey & Associates Inc ,2352,False,1630.0,2022,6,2,3,"933 Ethan James  St , Elkins, AR 72727",0.9815950920245399,1.0,0.0,15,False,False,False,2022-06
1001,1220711,L,RNT,960 Maddy  St ,72727,Elkins,Single Family,1450,,1450.0,2022-06-06,3,1630,1450.0,Dale Kelsey ,Lindsey & Associates Inc ,2373,False,1630.0,2022,6,0,3,"960 Maddy  St , Elkins, AR 72727",0.8895705521472392,1.0,0.0,6,False,False,False,2022-06
1001,1213753,L,RNT,1024 Maddy  St ,72727,Elkins,Single Family,1450,,1450.0,2022-04-01,3,1366,1450.0,Dale Kelsey ,Lindsey & Associates Inc ,20,False,1366.0,2022,4,4,2,"1024 Maddy  St , Elkins, AR 72727",1.061493411420205,1.0,0.0,1,False,False,False,2022-04
1001,1213748,L,RNT,960 Maddy  St ,72727,Elkins,Single Family,1450,,1450.0,2022-04-01,3,1630,1450.0,Dale Kelsey ,Lindsey & Associates Inc ,2373,True,1630.0,2022,4,4,2,"960 Maddy  St , Elkins, AR 72727",0.8895705521472392,1.0,0.0,1,False,False,False,2022-04
